Tag Code,Event Type Name,Event File Name,Event Year YYYY,Event Date MMDDYYYY,InitDate,Init_year,init_day,event_year,event_day,deltaDays,Event Site Code Value,DetectionOrder,Event Capture Method Name,Event Capture Method Code,Event Species Code,Event Species Name,Event Length mm,mark.length,Event Weight g,Event Site RKM Value,Event Site RKM Total,Event Comment Value,Antenna ID,CTH Count
3DD.003DE80C64,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,77,77,5.7,754.077,831,,NA,1
3DD.003DE80C91,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,91,91,8.4,754.077,831,,NA,1
3DD.003DE80CA5,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,76,76,3.9,754.077,831,,NA,1
3DD.003DE80CA9,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,80,80,4.7,754.077,831,,NA,1
3DD.003DE80CC7,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,88,88,7.8,754.077,831,,NA,1
3DD.003DE80CC7,Observation,LWB-2024-089-P-001.json,2024,3/30/2024,10/31/2023,2024,304,2024,90,,LWB,,NA,NA,,Unknown,,,,,,NA,6,1
3DD.003DE80CC8,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,78,78,5.5,754.077,831,,NA,1
3DD.003DE80CCA,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,6.2,754.077,831,,NA,1
3DD.003DE80CCC,Mark,NBD-2023-274-001.xml,2023,10/27/2023,10/27/2023,2023,300,2023,300,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,91,91,8.2,754.077,831,,NA,1
3DD.003DE80CCC,Recapture,CSS-2024-095-112.xml,2024,4/4/2024,10/27/2023,2024,300,2024,95,,CHIWAT,,Screw Trap,SCREWT,1,Chinook,98,,,754.077.002,833,T,NA,1
3DD.003DE80CCD,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,84,84,6.3,754.077,831,,NA,1
3DD.003DE80CCE,Mark,NBD-2023-274-001.xml,2023,10/31/2023,10/31/2023,2023,304,2023,304,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,74,74,4.2,754.077,831,,NA,1
3DD.003DE80CCF,Mark,NBD-2023-274-001.xml,2023,10/30/2023,10/30/2023,2023,303,2023,303,0,CHIWAR,,Electro-Shock,SHOCK,1,Chinook,72,72,4.1,754.077,831,,NA,1
