,ch_i.Trib,ch_i.FirstTrap,ch_i.LwrWen,ch_i.MCN,ch_i.Bon,ch_i.TWX,U,init_state,n
1113333,1,1,1,0,0,0,1,1,17
1122333,1,1,1,1,0,0,1,1,2
1123333,1,1,1,0,0,0,1,1,40
1132223,1,1,0,1,1,0,1,1,1
1132233,1,1,0,1,0,0,1,1,1
1132323,1,1,0,1,1,0,1,1,5
1132333,1,1,0,1,0,0,1,1,18
1133223,1,1,0,0,1,0,1,1,3
1133233,1,1,0,0,0,0,1,1,27
1133322,1,1,0,0,1,1,1,1,1
1133323,1,1,0,0,1,0,1,1,44
1133332,1,1,0,0,0,1,1,1,8
1133333,1,1,0,0,0,0,1,1,4972
1223333,1,1,1,0,0,0,1,1,19
1232233,1,1,0,1,0,0,1,1,2
1232323,1,1,0,1,1,0,1,1,1
1232332,1,1,0,1,0,1,1,1,1
1232333,1,1,0,1,0,0,1,1,13
1233223,1,1,0,0,1,0,1,1,2
1233233,1,1,0,0,0,0,1,1,19
1233322,1,1,0,0,1,1,1,1,2
1233323,1,1,0,0,1,0,1,1,22
1233332,1,1,0,0,0,1,1,1,3
1233333,1,1,0,0,0,0,1,1,876
1313333,1,0,1,0,0,0,1,1,11
1323233,1,0,1,0,0,0,1,1,1
1323323,1,0,1,0,1,0,1,1,3
1323332,1,0,1,0,0,1,1,1,1
1323333,1,0,1,0,0,0,1,1,30
1332233,1,0,0,1,0,0,1,1,3
1332333,1,0,0,1,0,0,1,1,17
1333223,1,0,0,0,1,0,1,1,3
1333232,1,0,0,0,0,1,1,1,1
1333233,1,0,0,0,0,0,1,1,29
1333322,1,0,0,0,1,1,1,1,5
1333323,1,0,0,0,1,0,1,1,60
1333332,1,0,0,0,0,1,1,1,4
1333333,1,0,0,0,0,0,1,1,11180
